"nro_registro_interno","fecha_ingreso_denuncia","id_tema","subtema","id_referido_tipo","id_provincia","id_genero","edad_aparente","id_embarazada"
"8445254515","7/17/2021","1","37","2","14","1","35","0"
"4584255515","8/20/2021","1","37","2","14","1","35","0"
"4505255515","8/21/2021","1","37","2","14","1","35","0"
"3515947515","10/22/2021","1","37","2","14","1","13","0"
"2525157515","10/30/2021","1","37","2","14","1","13","0"
"2525157515","10/30/2021","1","37","2","14","1","6","0"
"4505155505","3/13/2020","1","37","2","15","1","14","0"
"9415555505","4/28/2020","1","37","2","15","1","","0"
"9475555505","5/4/2020","1","37","2","15","1","43","0"
"4505256505","8/2/2020","1","37","2","15","1","14","0"
"3555656505","8/26/2020","1","37","2","15","1","","0"
"9455157505","9/18/2020","1","37","2","15","1","","0"
"3594948415","10/30/2020","1","37","2","15","1","","0"
"3594050515","2/8/2021","1","37","2","15","1","18","0"
"8494150515","2/13/2021","1","37","2","15","1","26","0"
"4535150515","2/15/2021","1","37","2","15","1","16","0"
"8494943515","5/31/2021","1","37","2","15","1","15","0"
"8445056515","9/20/2021","1","37","2","15","1","32","0"
"1545556515","10/8/2021","1","37","2","15","1","30","0"
"8455558425","12/20/2021","1","37","2","15","1","36","0"
"1525655505","5/11/2020","1","37","2","16","1","19","0"
"2515556505","8/21/2020","1","37","2","17","1","14","0"
"555940515","2/6/2021","1","37","2","17","1","20","0"
"565940515","2/6/2021","1","37","2","17","1","20","0"
"8475940515","2/6/2021","1","37","2","17","1","20","0"
"6565250515","2/20/2021","1","37","2","17","1","45","0"
"1515845505","2/11/2020","1","37","2","18","1","","0"
"2525945505","2/26/2020","1","37","2","18","1","","0"
"6525945505","2/26/2020","1","37","2","18","1","","0"
"565255505","4/3/2020","1","37","2","18","1","20","0"
"594455505","4/16/2020","1","37","2","18","1","","0"
"505159415","12/29/2020","1","37","2","18","1","19","0"
"5535840515","2/1/2021","1","37","2","18","1","33","0"
"8445840515","2/1/2021","1","37","2","18","1","34","0"
"3515250515","2/18/2021","1","37","2","18","1","17","0"
"1525350515","2/22/2021","1","37","2","18","1","17","0"
"4584451515","4/5/2021","1","37","2","18","1","30","0"
"7565452515","5/16/2021","1","37","2","18","1","22","0"
"6545843515","5/30/2021","1","37","2","18","1","22","0"
"9465843515","5/30/2021","1","37","2","18","1","0","0"
"5575253515","6/14/2021","1","37","2","18","1","18","0"
"9425256505","8/3/2020","1","37","2","19","1","","0"
"6584846505","5/31/2020","1","37","2","20","1","12","0"
"545845505","2/14/2020","1","37","2","28","1","","0"
"4545845505","2/15/2020","1","37","2","28","1","22","0"
"6545845505","2/15/2020","1","37","2","28","1","22","0"
"6535945505","2/27/2020","1","37","2","28","1","","0"
"3525059415","12/23/2020","1","37","2","28","1","20","0"
"3505754505","1/29/2020","1","37","2","22","1","","0"
"4594845505","2/9/2020","1","37","2","22","1","59","0"
"1545845505","2/14/2020","1","37","2","22","1","","0"
"3594155505","3/12/2020","1","37","2","22","1","","0"
"1535846505","6/6/2020","1","37","2","22","1","","0"
"2535846505","6/6/2020","1","37","2","22","1","15","0"
"2594056505","7/3/2020","1","37","2","22","1","","0"
"9415056505","7/5/2020","1","37","2","22","1","15","0"
"2575556505","8/23/2020","1","37","2","22","1","11","0"
"4555558415","12/1/2020","1","37","2","22","1","","0"
"7535849415","12/15/2020","1","37","2","22","1","16","0"
"9455849415","12/16/2020","1","37","2","22","1","16","0"
"7555259415","1/8/2021","1","37","2","22","1","22","0"
"1555459415","1/17/2021","1","37","2","22","1","40","0"
"4555459415","1/17/2021","1","37","2","22","1","40","0"
"7565550515","3/5/2021","1","37","2","22","1","13","0"
"6594051515","3/21/2021","1","37","2","22","1","27","0"
"8475051515","3/24/2021","1","37","2","22","1","48","0"
"2594352515","5/8/2021","1","37","2","22","1","12","0"
"3525754515","8/4/2021","1","37","2","22","1","15","0"
"2505845515","8/7/2021","1","37","2","22","1","23","0"
"505845515","8/7/2021","1","37","2","22","1","23","0"
"1575257515","11/4/2021","1","37","2","22","1","48","0"
"594948425","11/25/2021","1","37","2","22","1","13","0"
"1505158415","11/9/2020","1","37","2","23","1","","0"
"8465056505","7/16/2020","1","37","2","24","1","","0"
"9415554505","1/4/2020","1","37","2","25","1","","0"
"1515654505","1/17/2020","1","37","2","25","1","","0"
"8415654505","1/17/2020","1","37","2","25","1","","0"
"4505455505","4/18/2020","1","37","2","25","1","","0"
"6505455505","4/18/2020","1","37","2","25","1","37","0"
"2535455505","4/20/2020","1","37","2","25","1","","0"
"2545455505","4/21/2020","1","37","2","25","1","37","0"
"545846505","6/6/2020","1","37","2","25","1","16","0"
"545846505","6/6/2020","1","37","2","25","1","17","0"
"1555256505","8/5/2020","1","37","2","25","1","32","0"
"9425456505","8/17/2020","1","37","2","25","1","","0"
"555057505","9/14/2020","1","37","2","25","1","","0"
"1584559415","1/18/2021","1","37","2","25","1","40","0"
"2515053515","6/4/2021","1","37","2","25","1","39","0"
"3505845515","8/7/2021","1","37","2","25","1","16","0"
"5565758425","12/29/2021","1","37","2","25","1","21","0"
"5515554505","1/6/2020","1","37","2","26","1","","0"
"9425554505","1/6/2020","1","37","2","26","1","","0"
"1525554505","1/7/2020","1","37","2","26","1","1","0"
"8465554505","1/11/2020","1","37","2","26","1","","0"
"1584654505","1/14/2020","1","37","2","26","1","","0"
"1594654505","1/15/2020","1","37","2","26","1","","0"
"5584654505","1/15/2020","1","37","2","26","1","","0"
"7575654505","1/25/2020","1","37","2","26","1","","0"
"9425754505","1/30/2020","1","37","2","26","1","","0"
"6535754505","2/2/2020","1","37","2","26","1","","0"
"8455754505","2/3/2020","1","37","2","26","1","","0"
"1584845505","2/7/2020","1","37","2","26","1","","0"
"7505845505","2/11/2020","1","37","2","26","1","","0"
"3515845505","2/12/2020","1","37","2","26","1","20","0"
"2525845505","2/13/2020","1","37","2","26","1","","0"
"8435845505","2/14/2020","1","37","2","26","1","","0"
"3584945505","2/20/2020","1","37","2","26","1","","0"
"2594945505","2/21/2020","1","37","2","26","1","","0"
"3594945505","2/21/2020","1","37","2","26","1","39","0"
"6594945505","2/22/2020","1","37","2","26","1","","0"
"6594945505","2/22/2020","1","37","2","26","1","","0"
"6594945505","2/22/2020","1","37","2","26","1","","0"
"505945505","2/23/2020","1","37","2","26","1","","0"
"6515945505","2/25/2020","1","37","2","26","1","30","0"
"7515945505","2/25/2020","1","37","2","26","1","30","0"
"7525945505","2/26/2020","1","37","2","26","1","","0"
"3545945505","2/27/2020","1","37","2","26","1","17","0"
"545945505","2/27/2020","1","37","2","26","1","13","0"
"7545945505","2/27/2020","1","37","2","26","1","20","0"
"1584055505","3/3/2020","1","37","2","26","1","","0"
"3535055505","3/7/2020","1","37","2","26","1","","0"
"545055505","3/7/2020","1","37","2","26","1","25","0"
"6535055505","3/7/2020","1","37","2","26","1","51","0"
"1565055505","3/10/2020","1","37","2","26","1","","0"
"1565055505","3/10/2020","1","37","2","26","1","","0"
"2565055505","3/10/2020","1","37","2","26","1","","0"
"6575055505","3/11/2020","1","37","2","26","1","15","0"
"1505155505","3/13/2020","1","37","2","26","1","","0"
"7505155505","3/13/2020","1","37","2","26","1","26","0"
"8405155505","3/13/2020","1","37","2","26","1","30","0"
"8405155505","3/13/2020","1","37","2","26","1","24","0"
"6535155505","3/17/2020","1","37","2","26","1","","0"
"8445155505","3/18/2020","1","37","2","26","1","24","0"
"5505355505","4/6/2020","1","37","2","26","1","","0"
"3515355505","4/7/2020","1","37","2","26","1","43","0"
"4525355505","4/8/2020","1","37","2","26","1","25","0"
"9405455505","4/17/2020","1","37","2","26","1","15","0"
"5535455505","4/21/2020","1","37","2","26","1","27","0"
"5545455505","4/22/2020","1","37","2","26","1","14","0"
"6545455505","4/22/2020","1","37","2","26","1","","0"
"6515555505","4/28/2020","1","37","2","26","1","","0"
"9425555505","4/28/2020","1","37","2","26","1","","0"
"7575555505","5/5/2020","1","37","2","26","1","","0"
"3584655505","5/6/2020","1","37","2","26","1","28","0"
"584655505","5/6/2020","1","37","2","26","1","28","0"
"4515655505","5/11/2020","1","37","2","26","1","","0"
"5515655505","5/11/2020","1","37","2","26","1","","0"
"7525655505","5/12/2020","1","37","2","26","1","4","0"
"9475655505","5/17/2020","1","37","2","26","1","","0"
"9494755505","5/19/2020","1","37","2","26","1","29","0"
"7525755505","5/23/2020","1","37","2","26","1","","0"
"2575755505","5/29/2020","1","37","2","26","1","","0"
"5575755505","5/29/2020","1","37","2","26","1","","0"
"7575755505","5/29/2020","1","37","2","26","1","","0"
"9484846505","5/29/2020","1","37","2","26","1","13","0"
"1505846505","6/1/2020","1","37","2","26","1","16","0"
"6594846505","6/1/2020","1","37","2","26","1","20","0"
"3505846505","6/2/2020","1","37","2","26","1","29","0"
"8415846505","6/3/2020","1","37","2","26","1","18","0"
"6515846505","6/4/2020","1","37","2","26","1","","0"
"6515846505","6/4/2020","1","37","2","26","1","","0"
"4505946505","6/18/2020","1","37","2","26","1","14","0"
"5515946505","6/19/2020","1","37","2","26","1","13","0"
"9435946505","6/23/2020","1","37","2","26","1","21","0"
"9435946505","6/23/2020","1","37","2","26","1","18","0"
"9435946505","6/23/2020","1","37","2","26","1","16","0"
"9445946505","6/24/2020","1","37","2","26","1","15","0"
"6565946505","6/28/2020","1","37","2","26","1","14","0"
"7565946505","6/29/2020","1","37","2","26","1","14","0"
"575946505","6/30/2020","1","37","2","26","1","18","0"
"6584056505","7/2/2020","1","37","2","26","1","5","0"
"1594056505","7/3/2020","1","37","2","26","1","47","0"
"1525056505","7/7/2020","1","37","2","26","1","20","0"
"3525056505","7/8/2020","1","37","2","26","1","","0"
"6525056505","7/8/2020","1","37","2","26","1","","0"
"7525056505","7/8/2020","1","37","2","26","1","","0"
"535056505","7/9/2020","1","37","2","26","1","14","0"
"5535056505","7/10/2020","1","37","2","26","1","","0"
"2584156505","7/20/2020","1","37","2","26","1","23","0"
"3584156505","7/20/2020","1","37","2","26","1","16","0"
"3584156505","7/20/2020","1","37","2","26","1","19","0"
"1594156505","7/21/2020","1","37","2","26","1","","0"
"8405156505","7/22/2020","1","37","2","26","1","","0"
"4515156505","7/25/2020","1","37","2","26","1","","0"
"8445156505","7/29/2020","1","37","2","26","1","13","0"
"1555156505","7/30/2020","1","37","2","26","1","14","0"
"3555156505","7/31/2020","1","37","2","26","1","8","0"
"3505256505","8/2/2020","1","37","2","26","1","29","0"
"7535256505","8/4/2020","1","37","2","26","1","","0"
"7535256505","8/4/2020","1","37","2","26","1","","0"
"5545256505","8/5/2020","1","37","2","26","1","21","0"
"3565356505","8/14/2020","1","37","2","26","1","","0"
"8475356505","8/15/2020","1","37","2","26","1","","0"
"6525456505","8/17/2020","1","37","2","26","1","","0"
"5555456505","8/18/2020","1","37","2","26","1","23","0"
"8455456505","8/18/2020","1","37","2","26","1","","0"
"3565456505","8/19/2020","1","37","2","26","1","44","0"
"4525556505","8/21/2020","1","37","2","26","1","","0"
"6584656505","8/24/2020","1","37","2","26","1","","0"
"6584656505","8/24/2020","1","37","2","26","1","","0"
"7594756505","8/28/2020","1","37","2","26","1","","0"
"8405756505","8/28/2020","1","37","2","26","1","","0"
"4575756505","9/1/2020","1","37","2","26","1","60","0"
"7594847505","9/2/2020","1","37","2","26","1","","0"
"3555947505","9/9/2020","1","37","2","26","1","","0"
"3555947505","9/9/2020","1","37","2","26","1","","0"
"1575947505","9/10/2020","1","37","2","26","1","","0"
"4565947505","9/10/2020","1","37","2","26","1","25","0"
"5545057505","9/14/2020","1","37","2","26","1","","0"
"5584157505","9/15/2020","1","37","2","26","1","","0"
"6584157505","9/15/2020","1","37","2","26","1","","0"
"1515157505","9/16/2020","1","37","2","26","1","","0"
"2505157505","9/16/2020","1","37","2","26","1","","0"
"6515157505","9/16/2020","1","37","2","26","1","","0"
"6515157505","9/16/2020","1","37","2","26","1","","0"
"5545157505","9/18/2020","1","37","2","26","1","","0"
"565257505","9/24/2020","1","37","2","26","1","","0"
"8494357505","9/25/2020","1","37","2","26","1","","0"
"7594357505","9/26/2020","1","37","2","26","1","","0"
"7594357505","9/26/2020","1","37","2","26","1","","0"
"3555357505","9/29/2020","1","37","2","26","1","14","0"
"5555357505","9/29/2020","1","37","2","26","1","21","0"
"9475357505","9/30/2020","1","37","2","26","1","","0"
"2515457505","10/2/2020","1","37","2","26","1","","0"
"1594557505","10/6/2020","1","37","2","26","1","23","0"
"515557505","10/7/2020","1","37","2","26","1","","0"
"5565557505","10/9/2020","1","37","2","26","1","","0"
"4505657505","10/12/2020","1","37","2","26","1","28","0"
"525657505","10/13/2020","1","37","2","26","1","","0"
"7515657505","10/13/2020","1","37","2","26","1","","0"
"8425657505","10/13/2020","1","37","2","26","1","","0"
"4555657505","10/15/2020","1","37","2","26","1","14","0"
"5555657505","10/15/2020","1","37","2","26","1","13","0"
"5555657505","10/15/2020","1","37","2","26","1","18","0"
"2575757505","10/22/2020","1","37","2","26","1","17","0"
"7575757505","10/23/2020","1","37","2","26","1","16","0"
"2525848415","10/26/2020","1","37","2","26","1","","0"
"5535848415","10/27/2020","1","37","2","26","1","","0"
"5535848415","10/27/2020","1","37","2","26","1","","0"
"6535848415","10/27/2020","1","37","2","26","1","21","0"
"1575848415","10/29/2020","1","37","2","26","1","43","0"
"2505948415","10/31/2020","1","37","2","26","1","","0"
"6535948415","11/2/2020","1","37","2","26","1","19","0"
"6545948415","11/2/2020","1","37","2","26","1","","0"
"8465948415","11/2/2020","1","37","2","26","1","","0"
"9435158415","11/10/2020","1","37","2","26","1","37","0"
"1555158415","11/11/2020","1","37","2","26","1","","0"
"1555158415","11/11/2020","1","37","2","26","1","","0"
"1555158415","11/11/2020","1","37","2","26","1","","0"
"8455158415","11/11/2020","1","37","2","26","1","","0"
"5575458415","11/27/2020","1","37","2","26","1","28","0"
"7525658415","12/4/2020","1","37","2","26","1","","0"
"3594758415","12/8/2020","1","37","2","26","1","","0"
"515758415","12/9/2020","1","37","2","26","1","","0"
"1535758415","12/10/2020","1","37","2","26","1","","0"
"4535758415","12/10/2020","1","37","2","26","1","28","0"
"9445758415","12/10/2020","1","37","2","26","1","22","0"
"5594849415","12/13/2020","1","37","2","26","1","15","0"
"5594849415","12/13/2020","1","37","2","26","1","8","0"
"1525949415","12/18/2020","1","37","2","26","1","18","0"
"4515949415","12/18/2020","1","37","2","26","1","36","0"
"9465059415","12/26/2020","1","37","2","26","1","16","0"
"2515159415","12/29/2020","1","37","2","26","1","18","0"
"8415159415","12/29/2020","1","37","2","26","1","28","0"
"5515159415","12/30/2020","1","37","2","26","1","43","0"
"4505259415","1/5/2021","1","37","2","26","1","25","0"
"1535259415","1/6/2021","1","37","2","26","1","19","0"
"3525259415","1/6/2021","1","37","2","26","1","15","0"
"4515259415","1/6/2021","1","37","2","26","1","15","0"
"4525259415","1/6/2021","1","37","2","26","1","16","0"
"6515259415","1/6/2021","1","37","2","26","1","27","0"
"1555259415","1/8/2021","1","37","2","26","1","16","0"
"2555259415","1/8/2021","1","37","2","26","1","16","0"
"6535359415","1/12/2021","1","37","2","26","1","17","0"
"3555359415","1/13/2021","1","37","2","26","1","16","0"
"2505459415","1/14/2021","1","37","2","26","1","42","0"
"4505459415","1/14/2021","1","37","2","26","1","42","0"
"6594459415","1/14/2021","1","37","2","26","1","43","0"
"4515459415","1/15/2021","1","37","2","26","1","0","0"
