"","Fecha_de_ingreso_denuncia","nro_registro_interno","id_tema","subtema","id_referido_tipo","id_provincia","id_genero","edad_aparente","id_embarazada"
"142",2020-02-08,7525844515,1,37,1,5,2,65,0
"143",2020-02-09,4545154515,1,37,1,5,2,72,0
"144",2020-02-09,3525055515,1,37,1,5,2,26,0
"145",2020-02-09,594554505,1,37,1,7,2,NA,0
"146",2020-02-09,9415754505,1,37,1,7,2,NA,0
"147",2020-02-09,3535255505,1,37,1,7,2,NA,0
"148",2020-02-09,2555355505,1,37,1,7,2,50,0
"149",2020-02-10,5515555505,1,37,1,7,2,70,0
"150",2020-02-10,5515555505,1,37,1,7,2,50,0
"151",2020-02-11,584056505,1,37,1,7,2,NA,0
"152",2020-02-11,7584056505,1,37,1,7,2,NA,0
"153",2020-02-11,1525056505,1,37,1,7,2,NA,0
"154",2020-02-11,1525056505,1,37,1,7,2,NA,0
"155",2020-02-11,3525056505,1,37,1,7,2,NA,0
"156",2020-02-11,7525056505,1,37,1,7,2,NA,0
"157",2020-02-11,5575256505,1,37,1,7,2,NA,0
"158",2020-02-11,7505356505,1,37,1,7,2,NA,0
"159",2020-02-11,1575157505,1,37,1,7,2,NA,0
"160",2020-02-11,9405948415,1,37,1,7,2,NA,0
"161",2020-02-11,2505948415,1,37,1,7,2,NA,0
"162",2020-02-11,3575058415,1,37,1,7,2,76,0
"163",2020-02-11,3575058415,1,37,1,7,2,45,0
"164",2020-02-12,4565758415,1,37,1,7,2,37,0
"165",2020-02-12,8475758415,1,37,1,7,2,37,0
"166",2020-02-12,3584059415,1,37,1,7,2,50,0
"167",2020-02-12,7545059415,1,37,1,7,2,33,0
"168",2020-02-12,8435459415,1,37,1,7,2,50,0
"169",2020-02-13,8494050515,1,37,1,7,2,0,0
"170",2020-02-13,555150515,1,37,1,7,2,50,0
"171",2020-02-14,555150515,1,37,1,7,2,50,0
"172",2020-02-14,3555456515,1,37,1,7,2,37,0
"173",2020-02-14,6515754505,1,37,1,8,2,NA,0
"174",2020-02-14,5515945505,1,37,1,8,2,NA,0
"175",2020-02-14,8415055505,1,37,1,8,2,NA,0
"176",2020-02-14,8435055505,1,37,1,8,2,NA,0
"177",2020-02-14,535056505,1,37,1,8,2,NA,0
"178",2020-02-14,6555056505,1,37,1,8,2,34,0
"179",2020-02-15,3555357505,1,37,1,8,2,NA,0
"180",2020-02-15,7565056515,1,37,1,8,2,63,0
"181",2020-02-15,3594657515,1,37,1,8,2,0,0
"182",2020-02-15,535755505,1,37,1,9,2,70,0
"183",2020-02-16,2515846505,1,37,1,9,2,NA,0
"184",2020-02-16,8484156505,1,37,1,9,2,NA,0
"185",2020-02-16,515841515,1,37,1,9,2,50,0
"186",2020-02-16,7584941515,1,37,1,9,2,50,0
"187",2020-02-17,4594654515,1,37,1,9,2,50,0
"188",2020-02-17,7505654515,1,37,1,9,2,50,0
"189",2020-02-17,7565754505,1,37,1,10,2,NA,0
"190",2020-02-18,5584256515,1,37,1,10,2,34,0
"191",2020-02-18,3594845505,1,37,1,11,2,NA,0
"192",2020-02-19,7594357505,1,37,1,12,2,NA,0
"193",2020-02-19,4525754505,1,37,1,14,2,NA,0
"194",2020-02-19,4535754505,1,37,1,14,2,NA,0
"195",2020-02-20,4505845505,1,37,1,14,2,33,0
"196",2020-02-20,8455845505,1,37,1,14,2,NA,0
"197",2020-02-20,594155505,1,37,1,14,2,NA,0
"198",2020-02-20,4505355505,1,37,1,14,2,NA,0
"199",2020-02-20,9475555505,1,37,1,14,2,NA,0
"200",2020-02-21,584755505,1,37,1,14,2,50,0
"201",2020-02-21,2535156505,1,37,1,14,2,50,0
"202",2020-02-21,5515159415,1,37,1,14,2,0,0
"203",2020-02-22,3525551515,1,37,1,14,2,47,0
"204",2020-02-22,4584255515,1,37,1,14,2,50,0
"205",2020-02-22,4505255515,1,37,1,14,2,50,0
"206",2020-02-22,584757515,1,37,1,14,2,0,0
"207",2020-02-23,4505155505,1,37,1,15,2,30,0
"208",2020-02-23,6505846505,1,37,1,15,2,43,0
"209",2020-02-23,3555656505,1,37,1,15,2,NA,0
"210",2020-02-25,4535150515,1,37,1,15,2,24,0
"211",2020-02-25,9425152515,1,37,1,15,2,40,0
"212",2020-02-25,7575754505,1,37,1,16,2,NA,0
"213",2020-02-25,545255505,1,37,1,16,2,NA,0
"214",2020-02-26,2575555505,1,37,1,16,2,NA,0
"215",2020-02-26,1575550515,1,37,1,16,2,36,0
"216",2020-02-26,505256505,1,37,1,17,2,NA,0
"217",2020-02-26,6565250515,1,37,1,17,2,55,0
"218",2020-02-26,8484353515,1,37,1,17,2,50,0
"219",2020-02-26,515947515,1,37,1,17,2,50,0
"220",2020-02-26,1525157515,1,37,1,17,2,50,0
"221",2020-02-26,1525942515,1,37,1,27,2,37,0
"222",2020-02-26,5584052515,1,37,1,27,2,40,0
"223",2020-02-27,594052515,1,37,1,27,2,50,0
"224",2020-02-27,6505052515,1,37,1,27,2,40,0
"225",2020-02-27,5525554505,1,37,1,18,2,NA,0
"226",2020-02-27,584555505,1,37,1,18,2,57,0
"227",2020-02-27,3584156505,1,37,1,18,2,NA,0
"228",2020-02-27,1575556505,1,37,1,18,2,NA,0
"229",2020-02-27,4584451515,1,37,1,18,2,30,0
"230",2020-02-27,9484943515,1,37,1,18,2,50,0
"231",2020-02-27,9425256505,1,37,1,19,2,NA,0
"232",2020-02-27,6584846505,1,37,1,20,2,NA,0
"233",2020-02-27,7515756505,1,37,1,20,2,46,0
"234",2020-02-27,3575554505,1,37,1,22,2,NA,0
"235",2020-02-27,1584845505,1,37,1,22,2,NA,0
"236",2020-02-28,1584845505,1,37,1,22,2,NA,0
"237",2020-02-28,4594845505,1,37,1,22,2,NA,0
"238",2020-02-28,1545845505,1,37,1,22,2,NA,0
"239",2020-02-28,6505355505,1,37,1,22,2,NA,0
"240",2020-02-28,4525355505,1,37,1,22,2,NA,0
"241",2020-02-28,515555505,1,37,1,22,2,52,0
"242",2020-02-28,2575556505,1,37,1,22,2,19,0
"243",2020-02-29,505656505,1,37,1,22,2,NA,0
"244",2020-03-01,7545656505,1,37,1,22,2,NA,0
"245",2020-03-03,7505947505,1,37,1,22,2,NA,0
"246",2020-03-03,3515557505,1,37,1,22,2,NA,0
"247",2020-03-03,4555558415,1,37,1,22,2,NA,0
"248",2020-03-03,4555849415,1,37,1,22,2,45,0
"249",2020-03-03,3525450515,1,37,1,22,2,26,0
"250",2020-03-03,8475051515,1,37,1,22,2,0,0
"251",2020-03-03,2565551515,1,37,1,22,2,45,0
"252",2020-03-04,7515357515,1,37,1,22,2,40,0
"253",2020-03-04,9494457515,1,37,1,22,2,45,0
"254",2020-03-04,9494557515,1,37,1,22,2,60,0
"255",2020-03-04,9435357505,1,37,1,23,2,NA,0
"256",2020-03-04,8465948415,1,37,1,23,2,NA,0
"257",2020-03-04,8465056505,1,37,1,24,2,NA,0
"258",2020-03-04,5565056505,1,37,1,24,2,NA,0
"259",2020-03-05,9415554505,1,37,1,25,2,NA,0
"260",2020-03-05,8415654505,1,37,1,25,2,NA,0
"261",2020-03-05,9425654505,1,37,1,25,2,NA,0
"262",2020-03-05,545846505,1,37,1,25,2,40,0
"263",2020-03-05,9415356505,1,37,1,25,2,50,0
"264",2020-03-06,9415356505,1,37,1,25,2,20,0
"265",2020-03-06,9425456505,1,37,1,25,2,NA,0
"266",2020-03-06,3555153515,1,37,1,25,2,30,0
"267",2020-03-06,5565758425,1,37,1,25,2,21,0
"268",2020-03-06,7505554505,1,37,1,26,2,NA,0
"269",2020-03-07,9425554505,1,37,1,26,2,NA,0
"270",2020-03-07,525554505,1,37,1,26,2,NA,0
"271",2020-03-07,7545554505,1,37,1,26,2,NA,0
"272",2020-03-07,1575554505,1,37,1,26,2,NA,0
"273",2020-03-07,1594654505,1,37,1,26,2,NA,0
